Phage Accession	Host Species	Host Genus	Used in analysis	Phage Family	Dataset
NC_014467	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_014595	Shigella sonnei	Shigella	1	Myoviridae	Network
NC_014660	Acinetobacter [pred]	Acinetobacter	1	Myoviridae	Network
NC_014661	Acinetobacter johnsonii	Acinetobacter	1	Myoviridae	Network
NC_014662	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_014663	Acinetobacter johnsonii	Acinetobacter	1	Myoviridae	Network
NC_014792	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_014900	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_014901	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_015157	Vibrio cholerae	Vibrio	1	Myoviridae	Network
NC_015158	Vibrio cholerae	Vibrio	1	Podoviridae	Network
NC_015159	Vibrio cholerae	Vibrio	1	Podoviridae	Network
NC_015208	Pseudomonas fluorescens	Pseudomonas	1	Podoviridae	Network
NC_015249	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_015250	Acinetobacter johnsonii	Acinetobacter	1	Myoviridae	Network
NC_015262	Clostridium difficile	Clostridium	1	Siphoviridae	Network
NC_015263	Lactococcus lactis subsp. cremoris  ML8	Lactococcus	1	Siphoviridae	Network
NC_015264	Pseudomonas fluorescens	Pseudomonas	1	Podoviridae	Network
NC_015265	Burkholderia cenocepacia	Burkholderia	1	Myoviridae	Network
NC_015266	Burkholderia ambifaria	Burkholderia	1	Myoviridae	Network
NC_015269	Escherichia coli/ Salmonella typhimurium	Escherichia	1	Siphoviridae	Network
NC_015271	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_015273	Burkholderia cenocepacia	Burkholderia	1	Myoviridae	Network
NC_015274	Streptococcus pneumoniae	Streptococcus	1	Siphoviridae	Network
NC_015280	Prochlorococcus sp. MED4	Prochlorococcus	1	Myoviridae	Network
NC_015281	Synechococcus sp. WH8102	Synechococcus	1	Myoviridae	Network
NC_015283	Prochlorococcus sp. MIT9303	Prochlorococcus	1	Myoviridae	Network
NC_015284	Prochlorococcus sp. MED4	Prochlorococcus	1	Myoviridae	Network
NC_015285	Synechococcus sp. WH7803	Synechococcus	1	Caudovirales	Network
NC_015289	Synechococcus sp. WH8102	Synechococcus	1	Myoviridae	Network
NC_015290	Prochlorococcus sp. NATL1A	Prochlorococcus	1	Myoviridae	Network
NC_015294	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_015296	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_015456	Shigella flexneri	Shigella	1	Siphoviridae	Network
NC_015457	Shigella flexneri	Shigella	1	Myoviridae	Network
NC_015568	Clostridium difficile	Clostridium	1	Siphoviridae	Network
NC_015584	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_015719	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_015933	Escherichia coli [pred]	Escherichia	1	Podoviridae	Network
NC_015938	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_016071	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_016073	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_016158	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_016160	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_016162	Vibrio cholerae	Vibrio	1	Inoviridae	Network
NC_016163	Yersinia enterocolitica	Yersinia	1	Myoviridae	Network
NC_016563	Bacillus cereus	Bacillus	1	Myoviridae	Network
NC_016565	Staphylococcus aureus	Staphylococcus	1	Podoviridae	Network
NC_016566	Shigella sonnei	Shigella	1	Siphoviridae	Network
NC_016570	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_016571	Pseudomonas fluorescens	Pseudomonas	1	Myoviridae	Network
NC_016657	Prochlorococcus sp. MIT9515	Prochlorococcus	1	Podoviridae	Network
NC_016658	Prochlorococcus sp. NATL1A	Prochlorococcus	1	Podoviridae	Network
NC_016659	Prochlorococcus sp. NATL2A	Prochlorococcus	1	Podoviridae	Network
NC_016761	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_016762	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_016763	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_016764	Pseudomonas tolaasii	Pseudomonas	1	Podoviridae	Network
NC_016765	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_017674	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_017864	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_017865	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_017968	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_017969	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_017971	Pseudomonas putida	Pseudomonas	1	Podoviridae	Network
NC_017972	Pseudomonas putida	Pseudomonas	1	Myoviridae	Network
NC_017973	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_017976	Bacillus cereus	Bacillus	1	Siphoviridae	Network
NC_017980	Clostridium perfringens	Clostridium	1	Podoviridae	Network
NC_017984	Acinetobacter baumannii	Acinetobacter	1	Myoviridae	Network
NC_017985	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_018083	Clostridium perfringens	Clostridium	1	Podoviridae	Network
NC_018084	Clostridium perfringens	Clostridium	1	Podoviridae	Network
NC_018085	Bacillus thuringiensis	Bacillus	1	Siphoviridae	Network
NC_018274	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_018275	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_018277	Staphylococcus pasteuri	Staphylococcus	1	Siphoviridae	Network
NC_018278	Burkholderia cenocepacia	Burkholderia	1	Siphoviridae	Network
NC_018279	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_018281	Staphylococcus epidermidis	Staphylococcus	1	Siphoviridae	Network
NC_018282	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_018283	Burkholderia cenocepacia	Burkholderia	1	Siphoviridae	Network
NC_018284	Staphylococcus epidermidis	Staphylococcus	1	Siphoviridae	Network
NC_018452	Burkholderia cepacia	Burkholderia	1	Podoviridae	Network
NC_018835	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_018843	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_018846	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_018850	Pseudomonas fluorescens	Pseudomonas	1	Podoviridae	Network
NC_018854	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_018855	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_018856	Bacillus cereus	Bacillus	1	Myoviridae	Network
NC_018857	Bacillus cereus	Bacillus	1	Myoviridae	Network
NC_018859	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_018860	Bacillus cereus	Bacillus	1	Myoviridae	Network
NC_018863	Bacillus cereus	Bacillus	1	Myoviridae	Network
NC_019399	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_019403	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_019404	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019417	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_019418	Streptococcus suis	Streptococcus	1	Siphoviridae	Network
NC_019419	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019421	Clostridium difficile	Clostridium	1	Myoviridae	Network
NC_019422	Clostridium difficile	Clostridium	1	Myoviridae	Network
NC_019423	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_019442	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_019445	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_019448	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_019450	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_019451	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_019452	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_019457	Vibrio cholerae	Vibrio	1	Myoviridae	Network
NC_019487	Bacillus subtilis	Bacillus	1	Myoviridae	Network
NC_019488	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_019496	Clostridium perfringens	Clostridium	1	Siphoviridae	Network
NC_019500	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_019501	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_019502	Bacillus thuringiensis	Bacillus	1	Siphoviridae	Network
NC_019503	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_019505	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_019506	Clostridium perfringens	Clostridium	1	Siphoviridae	Network
NC_019508	Clostridium perfringens	Clostridium	1	Siphoviridae	Network
NC_019511	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_019513	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_019516	Synechococcus sp. WH8102	Synechococcus	1	Myoviridae	Network
NC_019517	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_019518	Vibrio cholerae	Vibrio	1	Myoviridae	Network
NC_019520	Escherichia coli [equine]	Escherichia	1	Podoviridae	Network
NC_019523	Clostridium perfringens	Clostridium	1	Podoviridae	Network
NC_019529	Vibrio parahaemolyticus	Vibrio	1	Siphoviridae	Network
NC_019530	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_019539	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_019545	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_019704	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019705	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019706	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019708	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019709	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019710	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019711	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019713	Vibrio parahaemolyticus	Vibrio	1	Siphoviridae	Network
NC_019714	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019715	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019716	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019717	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019718	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019719	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019720	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019721	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019722	Vibrio parahaemolyticus	Vibrio	1	Myoviridae	Network
NC_019723	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019724	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019725	Escherichia coli [pred]	Escherichia	1	Siphoviridae	Network
NC_019726	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_019767	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019768	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019769	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_019813	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_019909	Yersinia enterocolitica	Yersinia	1	Myoviridae	Network
NC_019910	Salmonella [pred]	Salmonella	1	Myoviridae	Network
NC_019911	Yersinia enterocolitica	Yersinia	1	Podoviridae	Network
NC_019912	Bacillus thuringiensis	Bacillus	1	Siphoviridae	Network
NC_019913	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_019914	Staphylococcus hominis	Staphylococcus	1	Siphoviridae	Network
NC_019915	Staphylococcus capitis	Staphylococcus	1	Siphoviridae	Network
NC_019917	Burkholderia cenocepacia	Burkholderia	1	Podoviridae	Network
NC_019918	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_019919	Yersinia enterocolitica	Yersinia	1	Siphoviridae	Network
NC_019921	Staphylococcus [pred]	Staphylococcus	1	Siphoviridae	Network
NC_019935	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_020079	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_020081	Bacillus pumilus	Bacillus	1	Myoviridae	Network
NC_020197	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_020199	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_020414	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_020416	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_020477	Bacillus pumilus	Bacillus	1	Siphoviridae	Network
NC_020478	Bacillus pumilus	Bacillus	1	Siphoviridae	Network
NC_020479	Bacillus pumilus	Bacillus	1	Siphoviridae	Network
NC_020480	Bacillus pumilus	Bacillus	1	Siphoviridae	Network
NC_020486	Synechococcus sp. WH7803	Synechococcus	1	Myoviridae	Network
NC_020488	Vibrio vulnificus	Vibrio	1	Podoviridae	Network
NC_020835	Prochlorococcus sp. NATL2A	Prochlorococcus	1	Podoviridae	Network
NC_020836	Synechococcus sp. WH7803	Synechococcus	1	Myoviridae	Network
NC_020837	Synechococcus sp. WH7803	Synechococcus	1	Myoviridae	Network
NC_020838	Synechococcus sp. WH7803	Synechococcus	1	Podoviridae	Network
NC_020843	Vibrio sp. 11985	Vibrio	1	Myoviridae	Network
NC_020845	Prochlorococcus sp. MED4	Prochlorococcus	1	Myoviridae	Network
NC_020846	Vibrio sp. YD21	Vibrio	1	Siphoviridae	Network
NC_020847	Prochlorococcus sp. MED4	Prochlorococcus	1	Myoviridae	Network
NC_020848	Vibrio parahaemolyticus	Vibrio	1	Podoviridae	Network
NC_020851	Synechococcus sp. WH7803	Synechococcus	1	Siphoviridae	Network
NC_020854	Synechococcus sp. WH7803	Synechococcus	1	UnclassifieddsDNAPhage	Network
NC_020855	Prochlorococcus sp. NATL2A	Prochlorococcus	1	Myoviridae	Network
NC_020857	Prochlorococcus sp. MED4	Prochlorococcus	1	UnclassifieddsDNAPhage	Network
NC_020863	Vibrio natriegens	Vibrio	1	UnclassifieddsDNAPhage	Network
NC_020865	Synechococcus sp. WH7803	Synechococcus	1	UnclassifieddsDNAPhage	Network
NC_020868	Vibrio parahaemolyticus	Vibrio	1	Podoviridae	Network
NC_020872	Prochlorococcus marinus SS120	Prochlorococcus	1	Caudovirales	Network
NC_020873	Bacillus cereus	Bacillus	1	Myoviridae	Network
NC_020874	Prochlorococcus sp. MIT9312	Prochlorococcus	1	UnclassifieddsDNAPhage	Network
NC_020876	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_020877	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_020878	Prochlorococcus sp. MED4	Prochlorococcus	1	UnclassifieddsDNAPhage	Network
NC_020883	Bacillus subtilis	Bacillus	1	Siphoviridae	Network
NC_021061	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021062	Pseudomonas fluorescens	Pseudomonas	1	Podoviridae	Network
NC_021063	Mycobacterium avium subsp. paratuberculosis	Mycobacterium	1	Siphoviridae	Network
NC_021067	Vibrio splendidus	Vibrio	1	UnclassifieddsDNAPhage	Network
NC_021068	Vibrio fischeri	Vibrio	1	UnclassifieddsDNAPhage	Network
NC_021070	Vibrio splendidus	Vibrio	1	Myoviridae	Network
NC_021071	Prochlorococcus sp. MIT9303	Prochlorococcus	1	Myoviridae	Network
NC_021072	Synechococcus sp. WH7803	Synechococcus	1	UnclassifieddsDNAPhage	Network
NC_021073	Vibrio splendidus	Vibrio	1	UnclassifieddsDNAPhage	Network
NC_021296	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021297	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021299	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021301	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021302	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021303	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021305	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021306	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021307	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021308	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021309	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021310	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021311	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021315	Escherichia coli/Salmonella enterica serovar Typhimurium/Serratia	Escherichia	1	Siphoviridae	Network
NC_021316	Acinetobacter baumannii	Acinetobacter	1	Podoviridae	Network
NC_021317	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_021318	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021323	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_021324	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021325	Clostridium perfringens	Clostridium	1	Siphoviridae	Network
NC_021326	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_021331	Shigella flexneri	Shigella	1	Siphoviridae	Network
NC_021332	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_021334	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021336	Bacillus weihenstephanensis	Bacillus	1	Podoviridae	Network
NC_021337	Acinetobacter baumannii	Acinetobacter	1	Podoviridae	Network
NC_021338	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021343	Burkholderia pseudomallei	Burkholderia	1	Myoviridae	Network
NC_021344	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_021346	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_021348	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_021349	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_021533	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021534	Vibrio sp. YD38	Vibrio	1	UnclassifieddsDNAPhage	Network
NC_021535	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021538	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021540	Vibrio cholerae	Vibrio	1	Podoviridae	Network
NC_021556	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021559	Prochlorococcus sp. NATL2A	Prochlorococcus	1	Myoviridae	Network
NC_021562	Vibrio cholerae	Vibrio	1	Inoviridae	Network
NC_021772	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_021773	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_021774	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_021775	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_021777	Salmonella [pred]	Salmonella	1	Siphoviridae	Network
NC_021779	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_021780	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_021782	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_021783	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_021801	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_021852	Lactococcus lactis subsp. lactis IL1403	Lactococcus	1	Siphoviridae	Network
NC_021853	Lactococcus lactis subsp. lactis IL1403	Lactococcus	1	Siphoviridae	Network
NC_021854	Lactococcus lactis subsp. cremoris	Lactococcus	1	Siphoviridae	Network
NC_021855	Lactococcus lactis subsp. cremoris V32.2	Lactococcus	1	Siphoviridae	Network
NC_021856	Bacillus subtilis	Bacillus	1	Myoviridae	Network
NC_021857	Shigella [pred]	Shigella	1	Myoviridae	Network
NC_021859	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_021860	Lactococcus lactis subsp. cremoris	Lactococcus	1	Siphoviridae	Network
NC_021861	Lactococcus lactis SMQ-1212	Lactococcus	1	Siphoviridae	Network
NC_021863	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_022052	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022053	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022054	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022055	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022056	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022057	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022058	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022059	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022060	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022061	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022062	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022063	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022064	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022065	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022066	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022067	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022068	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022069	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022070	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022071	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022085	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022086	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022087	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022088	Bacillus thuringiensis	Bacillus	1	Myoviridae	Network
NC_022090	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_022091	Pseudomonas aeruginosa PA01	Pseudomonas	1	Podoviridae	Network
NC_022094	Bacillus anthracis	Bacillus	1	Tectiviridae	Network
NC_022323	Escherichia coli O157:H7	Escherichia	1	Myoviridae	Network
NC_022324	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022325	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022326	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022327	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022328	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022329	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022330	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022331	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022746	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_022747	Vibrio cholerae	Vibrio	1	Myoviridae	Network
NC_022749	Shigella flexneri	Shigella	1	Myoviridae	Network
NC_022750	Escherichia coli O157:H7	Escherichia	1	Myoviridae	Network
NC_022752	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_022753	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022754	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_022758	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_022761	Bacillus subtilis	Bacillus	1	Myoviridae	Network
NC_022763	Bacillus thuringiensis	Bacillus	1	Myoviridae	Network
NC_022764	Bacillus megaterium	Bacillus	1	Podoviridae	Network
NC_022765	Bacillus pumilus	Bacillus	1	Siphoviridae	Network
NC_022766	Bacillus pumilus	Bacillus	1	Siphoviridae	Network
NC_022767	Bacillus megaterium	Bacillus	1	Siphoviridae	Network
NC_022768	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_022769	Bacillus thuringiensis	Bacillus	1	Myoviridae	Network
NC_022770	Bacillus megaterium	Bacillus	1	Podoviridae	Network
NC_022771	Bacillus subtilis	Bacillus	1	Myoviridae	Network
NC_022772	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_022773	Bacillus pumilus	Bacillus	1	Siphoviridae	Network
NC_022774	Bacillus megaterium	Bacillus	1	Siphoviridae	Network
NC_022776	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_022791	Streptococcus pneumoniae	Streptococcus	1	UnclassifiedPhage	Network
NC_022914	Staphylococcus saprophyticus	Staphylococcus	1	Siphoviridae	Network
NC_022916	Burkholderia cenocepacia	Burkholderia	1	Podoviridae	Network
NC_022918	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_022920	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_022965	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022966	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_022967	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_022968	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_022969	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022970	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_022971	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_022973	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022974	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_022975	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022976	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022977	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022979	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022981	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022983	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022984	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022985	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_022986	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_022988	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_023005	Pseudomonas plecoglossicida	Pseudomonas	1	Podoviridae	Network
NC_023006	Pseudomonas plecoglossicida	Pseudomonas	1	Myoviridae	Network
NC_023007	Bacillus anthracis	Bacillus	1	Siphoviridae	Network
NC_023009	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_023498	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023499	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_023500	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_023501	Bacillus cereus	Bacillus	1	Myoviridae	Network
NC_023503	Streptococcus thermophilus	Streptococcus	1	UnclassifiedPhage	Network
NC_023550	Staphylococcus aureus	Staphylococcus	1	Podoviridae	Network
NC_023552	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023553	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023554	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023562	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023563	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023564	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023565	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_023568	Vibrio harveyi	Vibrio	1	Myoviridae	Network
