PhageAcc	HostSpec	HostAcc
NC_022071	Mycobacterium smegmatis	NC_008596
NC_022085	Mycobacterium smegmatis	NC_008596
NC_022086	Mycobacterium smegmatis	NC_008596
NC_022087	Mycobacterium smegmatis	NC_008596
NC_022088	Bacillus thuringiensis	NC_005957
NC_022090	Staphylococcus aureus	NC_007795
NC_022091	Pseudomonas aeruginosa	NC_002516
NC_022094	Bacillus anthracis	NC_003997
NC_022323	Escherichia coli O157:H7	NC_002695
NC_022324	Mycobacterium smegmatis	NC_008596
NC_022325	Mycobacterium smegmatis	NC_008596
NC_022326	Mycobacterium smegmatis	NC_008596
NC_022327	Mycobacterium smegmatis	NC_008596
NC_022328	Mycobacterium smegmatis	NC_008596
NC_022329	Mycobacterium smegmatis	NC_008596
NC_022330	Mycobacterium smegmatis	NC_008596
NC_022331	Mycobacterium smegmatis	NC_008596
NC_022746	Pseudomonas aeruginosa	NC_002516
NC_022747	Vibrio cholerae	NC_00250x
NC_022749	Shigella flexneri	NC_004337
NC_022750	Escherichia coli O157:H7	NC_002695
NC_022752	Salmonella enterica	NC_003197
NC_022753	Mycobacterium smegmatis	NC_008596
NC_022754	Salmonella enterica	NC_003197
NC_022758	Staphylococcus aureus	NC_007795
NC_022761	Bacillus subtilis	NC_000964
NC_022763	Bacillus thuringiensis	NC_005957
NC_022764	Bacillus megaterium	NC_014103
NC_022765	Bacillus pumilus	NC_009848
NC_022766	Bacillus pumilus	NC_009848
NC_022767	Bacillus megaterium	NC_014103
NC_022768	Salmonella enterica	NC_003197
NC_022769	Bacillus thuringiensis	NC_005957
NC_022770	Bacillus megaterium	NC_014103
NC_022771	Bacillus subtilis	NC_000964
NC_022772	Salmonella enterica	NC_003197
NC_022773	Bacillus pumilus	NC_009848
NC_022774	Bacillus megaterium	NC_014103
NC_022776	Streptococcus thermophilus	NC_006448
NC_022791	Streptococcus pneumoniae	NC_003098
NC_022914	Staphylococcus saprophyticus	NC_007350
NC_022916	Burkholderia cenocepacia	NC_011000
NC_022918	Staphylococcus aureus	NC_007795
NC_022920	Staphylococcus aureus	NC_007795
NC_022965	Mycobacterium smegmatis	NC_008596
NC_022966	Pseudomonas aeruginosa	NC_002516
NC_022967	Pseudomonas aeruginosa	NC_002516
NC_022968	Escherichia coli	NC_000913
NC_022969	Mycobacterium smegmatis	NC_008596
NC_022970	Pseudomonas aeruginosa	NC_002516
NC_022971	Pseudomonas aeruginosa	NC_002516
NC_022973	Mycobacterium smegmatis	NC_008596
NC_022974	Pseudomonas aeruginosa	NC_002516
NC_022975	Mycobacterium smegmatis	NC_008596
NC_022976	Mycobacterium smegmatis	NC_008596
NC_022977	Mycobacterium smegmatis	NC_008596
NC_022979	Mycobacterium smegmatis	NC_008596
NC_022981	Mycobacterium smegmatis	NC_008596
NC_022983	Mycobacterium smegmatis	NC_008596
NC_022984	Mycobacterium smegmatis	NC_008596
NC_022985	Mycobacterium smegmatis	NC_008596
NC_022986	Pseudomonas aeruginosa	NC_002516
NC_022988	Mycobacterium smegmatis	NC_008596
NC_023005	Pseudomonas plecoglossicida	NZ_CP010359
NC_023006	Pseudomonas plecoglossicida	NZ_CP010359
NC_023007	Bacillus anthracis	NC_003997
NC_023009	Staphylococcus aureus	NC_007795
NC_023499	Staphylococcus aureus	NC_007795
NC_023500	Staphylococcus aureus	NC_007795
NC_023501	Bacillus cereus	NC_004722
NC_023503	Streptococcus thermophilus	NC_006448
NC_023550	Staphylococcus aureus	NC_007795
NC_023568	Vibrio harveyi	NZ_CP00946x
NC_023570	Acinetobacter baumannii	NZ_CP009257
NC_023573	Staphylococcus aureus	NC_007795
NC_023575	Pseudomonas aeruginosa	NC_002516
NC_023581	Acinetobacter baumannii	NZ_CP009257
NC_023582	Staphylococcus epidermidis	NC_004461
NC_023583	Pseudomonas aeruginosa	NC_002516
NC_023584	Synechococcus sp. WH7803	NC_009481
NC_023587	Synechococcus sp. WH7803	NC_009481
NC_023589	Shigella boydii	NC_007613
NC_023590	Acinetobacter baumannii	NZ_CP009257
NC_023593	Escherichia coli	NC_000913
NC_023596	Pseudomonas aeruginosa	NC_002516
NC_023597	Mycobacterium smegmatis	NC_008596
NC_023599	Bacillus thuringiensis	NC_005957
NC_023600	Mycobacterium smegmatis	NC_008596
NC_023601	Pseudomonas syringae	NC_007005
NC_023602	Mycobacterium smegmatis	NC_008596
NC_023604	Mycobacterium smegmatis	NC_008596
NC_023605	Vibrio alginolyticus	NC_0223xx
NC_023606	Mycobacterium smegmatis	NC_008596
NC_023607	Mycobacterium smegmatis	NC_008596
NC_023608	Salmonella enterica	NC_003197
NC_023686	Mycobacterium smegmatis	NC_008596
NC_023687	Mycobacterium smegmatis	NC_008596
NC_023689	Mycobacterium smegmatis	NC_008596
NC_023690	Mycobacterium smegmatis	NC_008596
NC_023691	Mycobacterium smegmatis	NC_008596
NC_023692	Mycobacterium smegmatis	NC_008596
NC_023695	Mycobacterium smegmatis	NC_008596
NC_023696	Mycobacterium smegmatis	NC_008596
NC_023697	Mycobacterium smegmatis	NC_008596
NC_023699	Mycobacterium smegmatis	NC_008596
NC_023700	Pseudomonas aeruginosa	NC_002516
NC_023701	Mycobacterium smegmatis	NC_008596
NC_023702	Mycobacterium smegmatis	NC_008596
NC_023703	Mycobacterium smegmatis	NC_008596
NC_023704	Mycobacterium smegmatis	NC_008596
NC_023705	Mycobacterium smegmatis	NC_008596
NC_023707	Mycobacterium smegmatis	NC_008596
NC_023708	Mycobacterium smegmatis	NC_008596
NC_023709	Mycobacterium smegmatis	NC_008596
NC_023710	Mycobacterium smegmatis	NC_008596
NC_023711	Mycobacterium smegmatis	NC_008596
NC_023712	Mycobacterium smegmatis	NC_008596
NC_023713	Mycobacterium smegmatis	NC_008596
NC_023714	Mycobacterium smegmatis	NC_008596
NC_023715	Yersinia pestis	NC_003143
NC_023716	Mycobacterium smegmatis	NC_008596
NC_023719	Bacillus megaterium	NC_014103
NC_023720	Mycobacterium smegmatis	NC_008596
NC_023721	Mycobacterium smegmatis	NC_008596
NC_023723	Mycobacterium smegmatis	NC_008596
NC_023724	Mycobacterium smegmatis	NC_008596
NC_023725	Mycobacterium smegmatis	NC_008596
NC_023726	Mycobacterium smegmatis	NC_008596
NC_023727	Mycobacterium smegmatis	NC_008596
NC_023728	Mycobacterium smegmatis	NC_008596
NC_023729	Mycobacterium smegmatis	NC_008596
NC_023730	Mycobacterium smegmatis	NC_008596
NC_023731	Mycobacterium smegmatis	NC_008596
NC_023732	Mycobacterium smegmatis	NC_008596
NC_023733	Mycobacterium smegmatis	NC_008596
NC_023737	Mycobacterium smegmatis	NC_008596
NC_023738	Mycobacterium smegmatis	NC_008596
NC_023739	Mycobacterium smegmatis	NC_008596
NC_023740	Mycobacterium smegmatis	NC_008596
NC_023741	Mycobacterium smegmatis	NC_008596
NC_023742	Mycobacterium smegmatis	NC_008596
NC_023743	Escherichia coli	NC_000913
NC_023744	Mycobacterium tuberculosis	NC_000962
NC_023745	Mycobacterium smegmatis	NC_008596
NC_023746	Mycobacterium smegmatis	NC_008596
NC_023747	Mycobacterium smegmatis	NC_008596
NC_023748	Mycobacterium smegmatis	NC_008596
NC_023856	Salmonella enterica	NC_003197
NC_023862	Mycobacterium smegmatis	NC_008596
NC_023863	Vibrio anguillarum	NC_01563x
NC_024122	Salmonella enterica	NC_003197
NC_024123	Pseudomonas aeruginosa	NC_002516
NC_024124	Escherichia coli	NC_000913
NC_024125	Escherichia coli	NC_000913
NC_024134	Escherichia coli	NC_000913
NC_024135	Mycobacterium smegmatis	NC_008596
NC_024136	Mycobacterium smegmatis	NC_008596
NC_024137	Bacillus cereus	NC_004722
NC_024138	Mycobacterium smegmatis	NC_008596
NC_024139	Escherichia coli	NC_000913
NC_024140	Pseudomonas aeruginosa	NC_002516
NC_024141	Mycobacterium smegmatis	NC_008596
NC_024143	Mycobacterium smegmatis	NC_008596
NC_024144	Clostridium difficile	NC_009089
NC_024145	Mycobacterium smegmatis	NC_008596
NC_024146	Escherichia coli	NC_000913
NC_024147	Mycobacterium smegmatis	NC_008596
NC_024148	Mycobacterium smegmatis	NC_008596
NC_024204	Salmonella enterica	NC_003197
NC_024205	Bacillus thuringiensis	NC_005957
NC_024207	Bacillus thuringiensis	NC_005957
NC_024209	Mycobacterium smegmatis	NC_008596
NC_024210	Escherichia coli	NC_000913
NC_024211	Bacillus thuringiensis	NC_005957
NC_024213	Bacillus thuringiensis	NC_005957
NC_024216	Bacillus thuringiensis	NC_005957
NC_024330	Pseudomonas aeruginosa	NC_002516
NC_024355	Staphylococcus epidermidis	NC_004461
NC_024357	Streptococcus pneumoniae	NC_003098
NC_024358	Anabaena variabilis	NC_007413
NC_024361	Streptococcus pneumoniae	NC_003098
NC_024362	Pseudomonas syringae	NC_007005
NC_024363	Mycobacterium smegmatis	NC_008596
NC_024365	Pseudomonas syringae	NC_007005
NC_024366	Mycobacterium smegmatis	NC_008596
NC_024368	Mycobacterium smegmatis	NC_008596
NC_024369	Vibrio cholerae	NC_00250x
NC_024370	Streptococcus pneumoniae	NC_003098
NC_024371	Mycobacterium smegmatis	NC_008596
NC_024379	Escherichia coli O157:H7	NC_002695
NC_024381	Pseudomonas aeruginosa	NC_002516
NC_024391	Staphylococcus aureus	NC_007795
NC_024782	Pseudomonas aeruginosa PA14	NC_008463
NC_024784	Escherichia coli O157:H7	NC_002695
NC_024785	Acinetobacter baumannii	NZ_CP009257
NC_024788	Bacillus thuringiensis	NC_005957
NC_024789	Escherichia coli O157:H7	NC_002695
NC_024790	Escherichia coli	NC_000913
NC_024791	Vibrio cholerae	NC_00250x
NC_024792	Bacillus thuringiensis	NC_005957
NC_024793	Escherichia coli O157:H7	NC_002695
NC_024794	Escherichia coli	NC_000913
NC_021067	Vibrio splendidus	NC_0117xx
NC_021070	Vibrio splendidus	NC_0117xx
NC_021073	Vibrio splendidus	NC_0117xx
